name,From,To,Pos,Ht,Wt,Birth Date,College,player_headshot,player_id
Winston Crite,1988,1989,F,6-7,233,1965-06-20,Texas A&M University,,804
Javaris Crittenton,2008,2009,G,6-5,200,1987-12-31,Georgia Institute of Technology,"static/useful_pics/Javaris Crittenton.png",805
Dillard Crocker,1949,1953,F-G,6-4,205,1925-01-19,Western Michigan University,,806
Bobby Croft,1971,1971,C,6-10,200,1946-03-17,University of Tennessee,,807
Geoff Crompton,1979,1984,C,6-11,280,1955-07-4,University of North Carolina,,808
Terry Crosby,1980,1980,G,6-4,195,1957-01-4,University of Tennessee,,809
Austin Croshere,1998,2009,F,6-9,235,1975-05-1,Providence College,,810
Jeff Cross,1986,1986,F,6-10,240,1961-09-1,University of Maine,,811
Pete Cross,1971,1973,C-F,6-9,230,1948-03-28,University of San Francisco,,812
Russell Cross,1984,1984,C,6-10,215,1961-09-5,Purdue University,,813
Chink Crossin,1948,1950,G,6-1,165,1923-07-4,University of Pennsylvania,,814
John Crotty,1993,2003,G,6-1,185,1969-07-15,University of Virginia,,815
Bill Crow,1968,1968,G,6-1,180,1940-12-9,Westminster College of Utah,,816
Mark Crow,1978,1978,F,6-7,210,1954-10-22,Duke University,,817
Corey Crowder,1992,1995,G-F,6-5,214,1969-04-13,Kentucky Wesleyan College,,818
Jae Crowder,2013,2017,F,6-6,235,1990-07-6,Marquette University,"static/useful_pics/Jae Crowder.png",819
Al Cueto,1970,1971,C-F,6-7,230,1946-08-2,University of Tulsa,,820
Pat Cummings,1980,1991,F-C,6-9,230,1956-07-11,University of Cincinnati,,821
Terry Cummings,1983,2000,F,6-9,220,1961-03-15,DePaul University,,822
Vonteego Cummings,2000,2002,G,6-3,185,1976-02-29,University of Pittsburgh,,823
Billy Cunningham,1966,1976,F-C,6-6,210,1943-06-3,University of North Carolina,,824
Dante Cunningham,2010,2017,F,6-8,230,1987-04-22,Villanova University,"static/useful_pics/Dante Cunningham.png",825
Dick Cunningham,1969,1975,C,6-10,245,1946-07-11,Murray State University,,826
Jared Cunningham,2013,2016,G,6-4,195,1991-05-22,Oregon State University,"static/useful_pics/Jared Cunningham.png",827
William Cunningham,1998,1999,C,6-11,250,1974-03-25,Temple University,,828
Radisav Curcic,1993,1993,C,6-10,275,1965-09-26,,,829
Armand Cure,1947,1947,F,6-0,198,1919-08-1,University of Rhode Island,,830
Earl Cureton,1981,1997,F-C,6-9,210,1957-09-3,University of Detroit Mercy,,831
Bill Curley,1995,2001,F,6-9,220,1972-05-29,Boston College,,832
Fran Curran,1949,1950,G,6-0,175,1922-09-9,University of Notre Dame,,833
Dell Curry,1987,2002,G,6-4,190,1964-06-25,Virginia Polytechnic Institute and State University,,834
Eddy Curry,2002,2013,C,7-0,295,1982-12-5,,"static/useful_pics/Eddy Curry.png",835
JamesOn Curry,2010,2010,G,6-3,190,1986-01-7,Oklahoma State University,"static/useful_pics/JamesOn Curry.png",836
Michael Curry,1994,2005,F-G,6-5,210,1968-08-22,Georgia Southern University,,837
Seth Curry,2014,2017,G,6-2,185,1990-08-23,Duke University,,838
Stephen Curry,2010,2017,G,6-3,190,1988-03-14,Davidson College,"static/useful_pics/Stephen Curry.png",839
Rastko Cvetkovic,1996,1996,C,7-1,260,1970-06-22,,,840
Mike D'Antoni,1974,1977,G,6-3,185,1951-05-8,Marshall University,,841
Mike Dabich,1968,1968,C,7-0,242,1942-12-27,New Mexico State University,,842
Ed Dahler,1952,1952,F,6-5,190,1926-01-31,Duquesne University,,843
Quintin Dailey,1983,1992,G,6-3,180,1961-01-22,University of San Francisco,,844
Samuel Dalembert,2002,2015,C,6-11,255,1981-05-10,Seton Hall University,"static/useful_pics/Samuel Dalembert.png",845
Howie Dallmar,1947,1949,F,6-4,200,1922-05-24,Stanford University,,846
Erick Dampier,1997,2012,C,6-11,265,1975-07-14,Mississippi State University,"static/useful_pics/Erick Dampier.png",847
Louie Dampier,1968,1979,G,6-0,170,1944-11-20,University of Kentucky,,848
Bob Dandridge,1970,1982,F-G,6-6,195,1947-11-15,Norfolk State University,,849
Antonio Daniels,1998,2011,G,6-4,195,1975-03-19,Bowling Green State University,"static/useful_pics/Antonio Daniels.png",850
Erik Daniels,2005,2005,F,6-8,214,1982-04-1,University of Kentucky,,851
Lloyd Daniels,1993,1998,G,6-7,205,1967-09-4,Mount San Antonio College,,852
Marquis Daniels,2004,2013,G-F,6-6,200,1981-01-7,Auburn University,"static/useful_pics/Marquis Daniels.png",853
Mel Daniels,1968,1977,C,6-9,220,1944-07-20,University of New Mexico,,854
Troy Daniels,2014,2017,G,6-4,205,1991-07-15,Virginia Commonwealth University,,855
Sasha Danilovic,1996,1997,G,6-5,200,1970-02-26,,,856
Adrian Dantley,1977,1991,F-G,6-5,208,1956-02-28,University of Notre Dame,,857
Pete Darcey,1953,1953,C,6-7,217,1930-03-3,Oklahoma State University,,858
Jimmy Darden,1950,1950,G,6-1,170,1922-06-19,University of Denver,,859
Ollie Darden,1968,1970,F-C,6-7,235,1944-07-28,University of Michigan,,860
Yinka Dare,1995,1998,C,7-0,265,1972-10-10,George Washington University,,861
Jesse Dark,1975,1975,G,6-5,210,1951-09-2,Virginia Commonwealth University,,862
Rick Darnell,1976,1976,C-F,6-10,215,1953-01-1,San Jose State University,,863
Jimmy Darrow,1962,1962,G,5-10,170,1937-09-25,Bowling Green State University,,864
Luigi Datome,2014,2015,F,6-8,215,1987-11-27,,,865
Brad Daugherty,1987,1994,C,7-0,245,1965-10-19,University of North Carolina,,866
Mack Daughtry,1971,1971,G,6-3,175,,Albany State University,,867
Kornel David,1999,2001,F,6-9,235,1971-10-22,,,868
Jermareo Davidson,2008,2009,F,6-10,230,1984-11-15,University of Alabama,,869
Bob Davies,1949,1955,G-F,6-1,175,1920-01-15,Seton Hall University,,870
Brandon Davies,2014,2015,F,6-10,240,1991-07-25,Brigham Young University,,871
Anthony Davis,2013,2017,F-C,6-10,253,1993-03-11,University of Kentucky,"static/useful_pics/Anthony Davis.png",872
Antonio Davis,1994,2006,F-C,6-9,215,1968-10-31,University of Texas at El Paso,,873
Aubrey Davis,1947,1947,G-F,6-2,175,1921-03-28,Oklahoma Baptist University,,874
Baron Davis,2000,2012,G,6-3,209,1979-04-13,"University of California, Los Angeles","static/useful_pics/Baron Davis.png",875
Ben Davis,1997,2000,F,6-9,240,1972-12-26,University of Arizona,,876
Bill Davis,1947,1947,F,6-3,215,1921-10-3,University of Notre Dame,,877
Bob Davis,1973,1973,F,6-7,215,1950-04-2,Weber State University,,878
Brad Davis,1978,1992,G,6-3,180,1955-12-17,University of Maryland,,879
Brian Davis,1994,1994,F-G,6-7,200,1970-06-21,Duke University,,880
Charles Davis,1982,1990,F,6-7,215,1958-10-5,Vanderbilt University,,881
Charlie Davis,1972,1974,G,6-2,160,1949-09-7,Wake Forest University,,882
Dale Davis,1992,2007,F-C,6-11,230,1969-03-25,Clemson University,,883
Deyonta Davis,2017,2017,F-C,6-11,237,1996-12-2,Michigan State University,,884
Dwight Davis,1973,1977,F,6-8,220,1949-10-28,University of Houston,,885
Ed Davis,2011,2017,F,6-10,240,1989-06-5,University of North Carolina,"static/useful_pics/Ed Davis.png",886
Emanual Davis,1997,2003,G,6-4,195,1968-08-27,Delaware State University,,887
Glen Davis,2008,2015,F-C,6-9,289,1986-01-1,Louisiana State University,"static/useful_pics/Glen Davis.png",888
Harry Davis,1979,1980,F,6-7,220,1956-01-27,Florida State University,,889
Hubert Davis,1993,2004,G,6-5,183,1970-05-17,University of North Carolina,,890
Jim Davis,1968,1975,C-F,6-9,225,1941-12-18,University of Colorado,,891
Johnny Davis,1977,1986,G,6-2,170,1955-10-21,University of Dayton,,892
Josh Davis,2004,2012,F,6-8,235,1980-08-10,University of Wyoming,"static/useful_pics/Josh Davis.png",893
Lee Davis,1969,1976,C-F,6-8,235,1945-10-11,North Carolina Central University,,894
Mark Davis,1989,1989,F-G,6-6,195,1963-06-8,Old Dominion University,,895
Mark Davis,1996,2000,G-F,6-7,210,1973-04-26,Texas Tech University,,896
Mel Davis,1974,1977,F,6-6,220,1950-11-9,St. John's University,,897
Mickey Davis,1972,1977,F-G,6-7,195,1950-06-16,Duquesne University,,898
Mike Davis,1970,1973,G,6-3,185,1946-07-26,Virginia Union University,,899
Mike Davis,1983,1983,F,6-10,230,1956-08-2,University of Maryland,,900
Monti Davis,1981,1981,F,6-7,205,1958-07-26,Tennessee State University,,901
Paul Davis,2007,2010,C,6-11,270,1984-07-21,Michigan State University,"static/useful_pics/Paul Davis.png",902
Ralph Davis,1961,1962,G,6-4,180,1938-09-7,University of Cincinnati,,903
Red Davis,1956,1956,C,6-7,220,1932-04-22,St. John's University,,904
Ricky Davis,1999,2010,G,6-6,195,1979-09-23,University of Iowa,"static/useful_pics/Ricky Davis.png",905
Ron Davis,1977,1982,G-F,6-6,198,1954-05-1,Washington State University,,906
Terry Davis,1990,2001,F-C,6-9,225,1967-06-17,Virginia Union University,,907
Walt Davis,1954,1958,C-F,6-8,205,1931-01-5,Texas A&M University,,908
Walter Davis,1978,1992,G-F,6-6,193,1954-09-9,University of North Carolina,,909
Warren Davis,1968,1973,F-C,6-6,212,1943-06-30,North Carolina Agricultural and Technical State University,,910
Willie Davis,1971,1971,C,6-8,234,1945-08-9,University of North Texas,,911
Andre Dawkins,2015,2015,G,6-5,215,1991-09-19,Duke University,,912
Darryl Dawkins,1976,1989,C,6-11,251,1957-01-11,,,913
Johnny Dawkins,1987,1995,G,6-2,165,1963-09-28,Duke University,,914
Paul Dawkins,1980,1980,F,6-5,190,1957-06-10,Northern Illinois University,,915
Branden Dawson,2016,2016,F,6-6,225,1993-02-1,Michigan State University,,916
Eric Dawson,2012,2012,F,6-9,250,1984-07-7,Midwestern State University,"static/useful_pics/Eric Dawson.png",917
Jimmy Dawson,1968,1968,G,6-0,175,1945-04-18,University of Illinois at Urbana-Champaign,,918
Tony Dawson,1991,1995,F,6-7,215,1967-08-25,Florida State University,,919
Todd Day,1993,2001,G-F,6-6,188,1970-01-7,University of Arkansas,,920
Austin Daye,2010,2015,F,6-11,220,1988-06-5,Gonzaga University,"static/useful_pics/Austin Daye.png",921
Darren Daye,1984,1988,F-G,6-8,220,1960-11-30,"University of California, Los Angeles",,922
Nando De Colo,2013,2014,G,6-5,200,1987-06-23,,"static/useful_pics/Nando De Colo.png",923
Greg Deane,1980,1980,G,6-4,190,1957-12-6,University of Utah,,924
Billy DeAngelis,1971,1971,G,6-1,180,1946-10-5,Saint Joseph's University,,925
Dave DeBusschere,1963,1974,F-G,6-6,220,1940-10-16,University of Detroit Mercy,,926
Andrew DeClercq,1996,2005,F-C,6-10,230,1973-02-1,University of Florida,,927
Dewayne Dedmon,2014,2017,C,7-0,245,1989-08-12,University of Southern California,,928
Donald Dee,1969,1969,F,6-8,210,1943-08-9,Saint Mary of the Plains College,,929
Archie Dees,1959,1962,F-C,6-8,205,1936-02-22,Indiana University,,930
Terry Dehere,1994,1999,G,6-2,190,1971-09-12,Seton Hall University,,931
Red Dehnert,1947,1947,F,6-3,175,,Columbia University,,932
Bryce Dejean-Jones,2016,2016,G,6-6,209,1992-08-21,Iowa State University,,933
Sam Dekker,2016,2017,F,6-9,230,1994-05-6,University of Wisconsin,,934
Vinny Del Negro,1989,2002,G,6-4,185,1966-08-9,North Carolina State University,,935
Malcolm Delaney,2017,2017,G,6-3,190,1989-03-11,Virginia Polytechnic Institute and State University,,936
Bison Dele,1992,1999,F-C,6-9,235,1969-04-6,University of Arizona,,937
Carlos Delfino,2005,2013,G,6-6,230,1982-08-29,,"static/useful_pics/Carlos Delfino.png",938
Tony Delk,1997,2006,G,6-1,189,1974-01-28,University of Kentucky,,939
Matthew Dellavedova,2014,2017,G,6-4,198,1990-09-8,Saint Mary's College of California,,940
Nate DeLong,1952,1952,C,6-6,220,1926-01-5,University of Wisconsin-River Falls,,941
Fennis Dembo,1989,1989,F,6-5,215,1966-01-24,University of Wyoming,,942
Larry Demic,1980,1982,F-C,6-9,225,1957-06-27,University of Arizona,,943
Dell Demps,1994,1997,G,6-3,205,1970-02-12,University of the Pacific,,944
George Dempsey,1955,1959,G,6-2,190,1929-07-19,King's College,,945
Luol Deng,2005,2017,F,6-9,220,1985-04-16,Duke University,"static/useful_pics/Luol Deng.png",946
Kenny Dennard,1982,1984,F,6-8,220,1958-10-18,Duke University,,947
Blaine Denning,1953,1953,G,6-2,175,1930-09-19,Lawrence Technological University,,948
Justin Dentmon,2012,2013,G,5-11,185,1985-09-5,University of Washington,,949
Randy Denton,1972,1977,C,6-10,240,1949-02-18,Duke University,,950
Joe DePre,1971,1973,G,6-3,185,1947-12-19,St. John's University,,951
Rod Derline,1975,1976,G,6-0,175,1952-03-11,Seattle University,,952
DeMar DeRozan,2010,2017,G,6-7,221,1989-08-7,University of Southern California,"static/useful_pics/DeMar DeRozan.png",953
Dave Deutsch,1967,1967,G,6-1,170,1945-05-13,University of Rochester,,954
Corky Devlin,1956,1958,G,6-5,195,1931-12-21,George Washington University,,955
Hank DeZonie,1951,1951,C-F,6-6,215,1922-02-12,Clark Atlanta University,,956
Derrick Dial,2000,2004,G,6-4,184,1975-12-20,Eastern Michigan University,,957
Cheick Diallo,2017,2017,F,6-9,220,1996-09-13,University of Kansas,,958
Boris Diaw,2004,2017,F-C,6-8,250,1982-04-16,,"static/useful_pics/Boris Diaw.png",959
Yakhouba Diawara,2007,2010,G-F,6-7,225,1982-08-29,Pepperdine University,"static/useful_pics/Yakhouba Diawara.png",960
Guillermo Diaz,2008,2008,G,6-2,192,1985-03-4,University of Miami,,961
Dan Dickau,2003,2008,G,6-0,190,1978-09-16,Gonzaga University,,962
Kaniel Dickens,2004,2008,F,6-8,215,1978-07-21,University of Idaho,,963
Henry Dickerson,1976,1977,G,6-4,190,1951-11-27,University of Charleston,,964
Michael Dickerson,1999,2003,G-F,6-5,190,1975-06-25,University of Arizona,,965
Clyde Dickey,1975,1975,G,6-3,185,1951-12-14,Boise State University,,966
Derrek Dickey,1974,1978,F,6-7,218,1951-03-20,University of Cincinnati,,967
Dick Dickey,1952,1952,G,6-1,175,1926-10-26,North Carolina State University,,968
John Dickson,1968,1968,C,6-10,240,1945-11-18,Arkansas State University,,969
Travis Diener,2006,2010,G,6-1,175,1982-03-1,Marquette University,,970
Gorgui Dieng,2014,2017,C,6-11,241,1990-01-18,University of Louisville,,971
Connie Dierking,1959,1971,C-F,6-9,222,1936-10-2,University of Cincinnati,,972
Coby Dietrick,1971,1983,C-F,6-10,220,1948-07-23,San Jose State University,,973
Ernie DiGregorio,1974,1978,G,6-0,180,1951-01-15,Providence College,,974
Craig Dill,1968,1968,C,6-11,215,1944-12-17,University of Michigan,,975
Dwaine Dillard,1976,1976,F,6-6,230,1949-03-9,Eastern Michigan University,,976
Mickey Dillard,1982,1982,G,6-3,170,1958-10-15,Florida State University,,977
Bob Dille,1947,1947,F,6-3,190,1917-07-2,Valparaiso University,,978
Hook Dillon,1950,1950,F,6-3,180,1924-01-8,University of North Carolina,,979
Byron Dinkins,1990,1991,G,6-1,170,1967-06-15,University of North Carolina at Charlotte,,980
Jackie Dinkins,1972,1972,F,6-5,210,1950-01-22,Voorhees College,,981
Harry Dinnel,1968,1968,F-G,6-4,200,,Pepperdine University,,982
Bill Dinwiddie,1968,1972,F,6-7,220,1943-07-15,New Mexico Highlands University,,983
Spencer Dinwiddie,2015,2017,G,6-6,200,1993-04-6,University of Colorado,,984
Ike Diogu,2006,2012,F,6-8,250,1983-09-11,Arizona State University,"static/useful_pics/Ike Diogu.png",985
DeSagana Diop,2002,2013,C,7-0,300,1982-01-30,,"static/useful_pics/DeSagana Diop.png",986
Terry Dischinger,1963,1973,F-G,6-7,189,1940-11-21,Purdue University,,987
Fred Diute,1955,1955,G,6-3,210,1929-01-9,St. Bonaventure University,,988
Vlade Divac,1990,2005,C,7-1,243,1968-02-3,,,989
Juan Dixon,2003,2009,G,6-3,164,1978-10-9,University of Maryland,,990
Aleksandar Djordjevic,1997,1997,G,6-2,198,1967-08-26,,,991
Earl Dodd,1950,1950,F,6-5,175,1924-11-1,Truman State University,,992
Michael Doleac,1999,2008,C,6-11,262,1977-06-15,University of Utah,,993
Joe Dolhon,1950,1951,G,6-0,175,1927-07-9,New York University,,994
Bob Doll,1947,1950,F-C,6-5,195,1919-08-10,University of Colorado,,995
James Donaldson,1981,1995,C,7-2,275,1957-08-16,Washington State University,,996
Bob Donham,1951,1954,G-F,6-2,190,1926-10-11,Ohio State University,,997
Billy Donovan,1988,1988,G,5-11,171,1965-05-30,Providence College,,998
Harry Donovan,1950,1950,G,6-2,180,1926-09-10,Muhlenberg College,,999
Keyon Dooling,2001,2013,G,6-3,196,1980-05-8,University of Missouri,"static/useful_pics/Keyon Dooling.png",1000
Jacky Dorsey,1978,1981,F,6-7,230,1954-12-18,University of Georgia,,1001
Joey Dorsey,2009,2015,F,6-8,268,1983-12-16,University of Memphis,"static/useful_pics/Joey Dorsey.png",1002
Ron Dorsey,1972,1972,F,6-4,200,1948-10-10,Tennessee State University,,1003
Quincy Douby,2007,2009,G,6-3,175,1984-05-16,Rutgers University,,1004
Bruce Douglas,1987,1987,G,6-3,195,1964-04-9,University of Illinois at Urbana-Champaign,,1005
John Douglas,1982,1983,G,6-2,170,1956-06-12,University of Kansas,,1006
Leon Douglas,1977,1983,C-F,6-10,230,1954-08-26,University of Alabama,,1007
Sherman Douglas,1990,2001,G,6-0,180,1966-09-15,Syracuse University,,1008
Toney Douglas,2010,2017,G,6-2,195,1986-03-16,Florida State University,"static/useful_pics/Toney Douglas.png",1009
Chris Douglas-Roberts,2009,2015,G,6-7,200,1987-01-8,University of Memphis,"static/useful_pics/Chris Douglas-Roberts.png",1010
Sonny Dove,1968,1972,F,6-7,198,1945-08-16,St. John's University,,1011
Jerry Dover,1972,1972,G,5-7,155,1949-10-16,LeMoyne-Owen College,,1012
Zabian Dowdell,2011,2011,G,6-3,191,1984-09-10,Virginia Polytechnic Institute and State University,"static/useful_pics/Zabian Dowdell.png",1013
Bill Downey,1948,1948,C,6-6,210,1923-11-11,Marquette University,,1014
Steve Downing,1974,1975,C,6-8,225,1950-09-9,Indiana University,,1015
Danny Doyle,1963,1963,F,6-8,200,1940-02-6,Belmont Abbey College,,1016
Terry Dozier,1990,1990,F,6-9,210,1966-06-29,University of South Carolina,,1017
Goran Dragic,2009,2017,G,6-3,190,1986-05-6,,"static/useful_pics/Goran Dragic.png",1018
Zoran Dragic,2015,2015,G-F,6-5,200,1989-06-22,,,1019
Greg Dreiling,1987,1997,C,7-1,250,1962-11-7,University of Kansas,,1020
Bryce Drew,1999,2004,G,6-2,185,1974-09-21,Valparaiso University,,1021
John Drew,1975,1985,F-G,6-6,205,1954-09-30,Gardner-Webb University,,1022
Larry Drew,1981,1991,G,6-1,170,1958-04-2,University of Missouri,,1023
Larry Drew,2015,2015,G,6-2,180,1990-03-5,"University of California, Los Angeles",,1024
Clyde Drexler,1984,1998,G,6-7,210,1962-06-22,University of Houston,,1025
Nate Driggers,1997,1997,G,6-5,215,1973-10-12,University of Montevallo,,1026
Terry Driscoll,1971,1975,F,6-7,215,1947-08-28,Boston College,,1027
Predrag Drobnjak,2002,2005,C,6-11,270,1975-10-27,,,1028
Ralph Drollinger,1981,1981,C,7-2,250,1954-04-20,"University of California, Los Angeles",,1029
Andre Drummond,2013,2017,C,6-11,279,1993-08-10,University of Connecticut,"static/useful_pics/Andre Drummond.png",1030
Dick Duckett,1958,1958,G,6-1,185,1933-03-25,St. John's University,,1031
Kevin Duckworth,1987,1997,C,7-0,275,1964-04-1,Eastern Illinois University,,1032
Charles Dudley,1973,1979,G,6-2,180,1950-03-5,University of Washington,,1033
Chris Dudley,1988,2003,C,6-11,235,1965-02-22,Yale University,,1034
Jared Dudley,2008,2017,F-G,6-7,225,1985-07-10,Boston College,"static/useful_pics/Jared Dudley.png",1035
Terry Duerod,1980,1983,G,6-2,180,1956-07-29,University of Detroit Mercy,,1036
Bob Duffy,1947,1947,F,6-4,175,1922-07-5,Tulane University,,1037
Bob Duffy,1963,1965,G,6-3,185,1940-09-26,Colgate University,,1038
Chris Duhon,2005,2013,G,6-1,185,1982-08-31,Duke University,"static/useful_pics/Chris Duhon.png",1039
Duje Dukan,2016,2016,F,6-9,220,1991-12-4,University of Wisconsin,,1040
Walter Dukes,1956,1963,C,7-0,220,1930-06-23,Seton Hall University,,1041
Joe Dumars,1986,1999,G,6-3,190,1963-05-24,McNeese State University,,1042
Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University,,1043
Richard Dumas,1993,1996,F,6-7,200,1969-05-19,Oklahoma State University,,1044
Tony Dumas,1995,1998,G,6-6,190,1972-08-25,University of Missouri-Kansas City,,1045
Andy Duncan,1949,1951,F-C,6-6,195,1922-04-17,College of William & Mary,,1046
Tim Duncan,1998,2016,F-C,6-11,250,1976-04-25,Wake Forest University,"static/useful_pics/Tim Duncan.png",1047
Mike Dunleavy,1977,1990,G,6-3,180,1954-03-21,University of South Carolina,"static/useful_pics/Mike Dunleavy.png",1048
Mike Dunleavy,2003,2017,F-G,6-9,230,1980-09-15,Duke University,"static/useful_pics/Mike Dunleavy.png",1049
Kris Dunn,2017,2017,G,6-4,210,1994-03-18,Providence College,,1050
Pat Dunn,1958,1958,G,6-2,170,1931-03-17,Utah State University,,1051
T.R. Dunn,1978,1991,G-F,6-4,192,1955-02-1,University of Alabama,,1052
Ronald Dupree,2004,2011,F,6-7,209,1981-01-26,Louisiana State University,"static/useful_pics/Ronald Dupree.png",1053
Kevin Durant,2008,2017,F-G,6-9,240,1988-09-29,University of Texas at Austin,"static/useful_pics/Kevin Durant.png",1054
John Duren,1981,1983,G,6-3,195,1958-10-30,Georgetown University,,1055
Jarrett Durham,1972,1972,F,6-5,188,1949-08-22,Duquesne University,,1056
Pat Durham,1993,1995,F,6-7,210,1967-03-10,Colorado State University,,1057
Devin Durrant,1985,1986,F,6-7,200,1960-10-20,Brigham Young University,,1058
Ken Durrett,1972,1975,F,6-7,190,1948-12-8,La Salle University,,1059
Dennis DuVal,1975,1976,G,6-3,175,1952-03-31,Syracuse University,,1060
Jack Dwan,1949,1949,F-G,6-4,200,1921-05-3,Loyola University of Chicago,,1061
Craig Dykema,1982,1982,F,6-8,190,1959-06-11,"California State University, Long Beach",,1062
Gene Dyker,1954,1954,F,6-6,225,1930-02-17,DePaul University,,1063
Jerome Dyson,2012,2012,G,6-3,180,1987-05-1,University of Connecticut,"static/useful_pics/Jerome Dyson.png",1064
Ledell Eackles,1989,1998,G-F,6-5,220,1966-11-24,University of New Orleans,,1065
Jim Eakins,1969,1978,C,6-11,215,1946-05-24,Brigham Young University,,1066
Acie Earl,1994,1997,F-C,6-10,240,1970-06-23,University of Iowa,,1067
Ed Earle,1954,1954,F,6-3,190,1927-04-28,Loyola University of Chicago,,1068
Cleanthony Early,2015,2016,F,6-8,210,1991-04-17,Wichita State University,,1069
Penny Early,1969,1969,G,5-3,114,1943-05-30,,,1070
Mark Eaton,1983,1993,C,7-4,275,1957-01-24,"University of California, Los Angeles",,1071
Jerry Eaves,1983,1987,G,6-4,180,1959-02-8,University of Louisville,,1072
Devin Ebanks,2011,2013,F,6-9,215,1989-10-28,West Virginia University,"static/useful_pics/Devin Ebanks.png",1073
Bill Ebben,1958,1958,G,6-4,190,1935-10-7,University of Detroit Mercy,,1074
Al Eberhard,1975,1978,F,6-6,225,1952-05-10,University of Missouri,,1075
Ndudi Ebi,2004,2005,F,6-9,200,1984-06-18,,,1076
Roy Ebron,1974,1974,C,6-9,220,1951-08-31,University of Louisiana at Lafayette,,1077
Jarell Eddie,2016,2016,G-F,6-7,218,1991-10-30,Virginia Polytechnic Institute and State University,,1078
Patrick Eddie,1992,1992,C,6-11,240,1967-12-27,University of Mississippi,,1079
Dike Eddleman,1950,1953,F-G,6-3,189,1922-12-27,University of Illinois at Urbana-Champaign,,1080
Kenton Edelin,1985,1985,F,6-8,205,1962-05-24,University of Virginia,,1081
Charles Edge,1974,1975,F,6-6,210,1950-02-23,LeMoyne-Owen College,,1082
Bobby Edmonds,1968,1970,F,6-6,220,1941-03-8,Tennessee State University,,1083
Keith Edmonson,1983,1984,G,6-5,195,1960-09-28,Purdue University,,1084
Tyus Edney,1996,2001,G,5-10,152,1973-02-14,"University of California, Los Angeles",,1085
Bill Edwards,1994,1994,F,6-8,215,1971-09-22,Wright State University,,1086
Blue Edwards,1990,1999,G-F,6-4,200,1965-10-31,East Carolina University,,1087
Corsley Edwards,2005,2005,F,6-9,275,1979-03-5,Central Connecticut State University,,1088
Doug Edwards,1994,1996,F,6-7,220,1971-01-21,Florida State University,,1089
Franklin Edwards,1982,1988,G,6-1,170,1959-02-2,Cleveland State University,,1090
James Edwards,1978,1996,C-F,7-0,225,1955-11-22,University of Washington,,1091
Jay Edwards,1990,1990,G,6-4,185,1969-01-3,Indiana University,,1092
John Edwards,2005,2006,C,7-0,275,1981-07-31,Kent State University,,1093
Kevin Edwards,1989,2001,G,6-3,190,1965-10-30,DePaul University,,1094
Shane Edwards,2014,2014,F,6-7,220,1987-05-31,University of Arkansas at Little Rock,,1095
Johnny Egan,1962,1972,G,5-11,180,1939-01-31,Providence College,,1096
Lonnie Eggleston,1949,1949,G,6-0,170,1918-06-8,Oklahoma State University,,1097
Bulbs Ehlers,1948,1949,F-G,6-3,198,1923-03-10,Purdue University,,1098
Craig Ehlo,1984,1997,G-F,6-6,180,1961-08-11,Washington State University,,1099
Rich Eichhorst,1962,1962,G,6-3,200,1933-10-21,Southeast Missouri State University,,1100
Howard Eisley,1995,2006,G,6-2,177,1972-12-4,Boston College,,1101
Obinna Ekezie,2000,2005,F-C,6-9,270,1975-08-22,University of Maryland,,1102
Khalid El-Amin,2001,2001,G,5-10,200,1979-04-25,University of Connecticut,,1103
Don Eliason,1947,1947,F,6-2,210,1918-07-24,Hamline University,,1104
Mario Elie,1991,2001,G-F,6-5,210,1963-11-26,American International College,,1105
Ray Ellefson,1949,1951,C,6-8,230,1922-11-18,West Texas A&M University,,1106
Henry Ellenson,2017,2017,F,6-11,245,1997-01-13,Marquette University,,1107
Wayne Ellington,2010,2017,G,6-4,200,1987-10-29,University of North Carolina,"static/useful_pics/Wayne Ellington.png",1108
Bob Elliott,1979,1981,C-F,6-9,225,1955-08-18,University of Arizona,,1109
Sean Elliott,1990,2001,F,6-8,205,1968-02-2,University of Arizona,,1110
Bo Ellis,1978,1980,F,6-9,197,1954-08-8,Marquette University,,1111
Boo Ellis,1959,1960,F,6-5,185,1936-02-11,Niagara University,,1112
Dale Ellis,1984,2000,G-F,6-7,205,1960-08-6,University of Tennessee,,1113
Harold Ellis,1994,1998,G,6-5,200,1970-10-7,Morehouse College,,1114
Joe Ellis,1967,1974,F-G,6-6,175,1944-05-3,University of San Francisco,,1115
LaPhonso Ellis,1993,2003,F,6-8,240,1970-05-5,University of Notre Dame,,1116
LeRon Ellis,1992,1996,F-C,6-9,225,1969-04-28,Syracuse University,,1117
Leroy Ellis,1963,1976,C-F,6-10,210,1940-03-10,St. John's University,,1118
Monta Ellis,2006,2017,G,6-3,185,1985-10-26,,"static/useful_pics/Monta Ellis.png",1119
Pervis Ellison,1990,2001,F-C,6-9,210,1967-04-3,University of Louisville,,1120
Len Elmore,1975,1984,C-F,6-9,220,1952-03-28,University of Maryland,,1121
Francisco Elson,2004,2012,C,7-0,235,1976-02-28,University of California,"static/useful_pics/Francisco Elson.png",1122
Darrell Elston,1975,1977,G,6-4,190,1952-08-15,University of North Carolina,,1123
Melvin Ely,2003,2014,C,6-10,260,1978-05-2,"California State University, Fresno","static/useful_pics/Melvin Ely.png",1124
Joel Embiid,2017,2017,C-F,7-0,250,1994-03-16,University of Kansas,,1125
